type,entry_time,entry,tp,sl,sl_pts,tp_pts,zone_top,zone_bottom,zone_width,pristine,outcome,exit_px,exit_time,bias_1h,bias_4h
REV_SHORT,2026-01-27 08:45:00+00:00,97.207,97.128,97.286,790,790,97.171,97.167,40,False,win,97.128,2026-01-27 09:30:00+00:00,-1,-1
ATTR_LONG,2026-02-09 15:30:00+00:00,96.917,97.617,96.217,7000,7000,97.662,97.612,500,True,timeout,96.935,2026-02-16 01:45:00+00:00,-1,1
ATTR_SHORT,2026-03-02 10:30:00+00:00,98.16,98.017,98.303,1430,1430,98.022,97.975,470,True,loss,98.303,2026-03-02 12:00:00+00:00,1,1
REV_LONG,2026-03-19 09:15:00+00:00,100.181,100.324,100.038,1430,1430,100.233,100.21,230,False,loss,100.038,2026-03-19 09:45:00+00:00,1,1
ATTR_SHORT,2026-03-20 07:30:00+00:00,99.329,99.285,99.373,440,440,99.29,99.162,1280,True,win,99.285,2026-03-20 08:15:00+00:00,-1,1
ATTR_SHORT,2026-03-25 08:00:00+00:00,99.277,99.2,99.354,770,770,99.205,99.182,230,True,win,99.2,2026-03-25 08:15:00+00:00,-1,-1
REV_LONG,2026-03-30 09:00:00+00:00,100.318,100.586,100.05,2680,2680,100.322,100.309,130,False,win,100.586,2026-03-30 15:00:00+00:00,1,1
REV_LONG,2026-03-31 08:00:00+00:00,100.477,100.564,100.39,870,870,100.561,100.491,700,False,loss,100.39,2026-03-31 08:45:00+00:00,1,1
ATTR_LONG,2026-04-01 12:15:00+00:00,99.51,99.79,99.23,2800,2800,99.856,99.785,710,True,win,99.79,2026-04-02 01:15:00+00:00,-1,1
ATTR_LONG,2026-04-08 08:00:00+00:00,98.828,98.956,98.7,1280,1280,99.516,98.951,5650,True,win,98.956,2026-04-08 08:30:00+00:00,-1,-1
REV_SHORT,2026-04-09 08:30:00+00:00,99.043,98.954,99.132,890,890,99.057,98.998,590,False,win,98.954,2026-04-09 11:30:00+00:00,-1,-1
REV_SHORT,2026-04-10 09:15:00+00:00,98.875,98.743,99.007,1320,1320,98.869,98.795,740,False,win,98.743,2026-04-10 11:00:00+00:00,-1,-1
ATTR_LONG,2026-04-14 07:45:00+00:00,98.22,98.362,98.078,1420,1420,98.373,98.357,160,True,loss,98.078,2026-04-14 10:45:00+00:00,-1,-1
REV_SHORT,2026-04-15 08:00:00+00:00,98.127,98.031,98.223,960,960,98.105,98.067,380,False,loss,98.223,2026-04-15 09:00:00+00:00,-1,-1
ATTR_LONG,2026-05-06 11:30:00+00:00,97.8,98.313,97.287,5130,5130,98.487,98.308,1790,True,win,98.313,2026-05-12 08:30:00+00:00,-1,-1
ATTR_SHORT,2026-05-12 08:45:00+00:00,98.27,97.958,98.582,3120,3120,97.963,97.907,560,True,loss,98.582,2026-05-13 09:15:00+00:00,1,-1
ATTR_SHORT,2026-05-13 10:00:00+00:00,98.524,98.304,98.744,2200,2200,98.309,98.289,200,True,loss,98.744,2026-05-14 15:00:00+00:00,1,1
ATTR_SHORT,2026-05-15 14:45:00+00:00,99.213,98.924,99.502,2890,2890,98.929,98.869,600,True,timeout,99.269,2026-05-15 20:45:00+00:00,1,1
