dxy_type,entry_time,exit_time,dxy_outcome,pair,direction,entry,exit_px,sl_pts_dxy,outcome,r_actual,bias_1h,bias_4h
ATTR_SHORT,2025-09-23 07:45:00+00:00,2025-09-23 08:30:00+00:00,win,XAUUSD,long,3753.25,3770.01,710,win,2.361,-1,-1
ATTR_SHORT,2025-09-24 07:45:00+00:00,2025-09-24 10:15:00+00:00,loss,XAUUSD,long,3777.32,3764.0,2200,loss,-0.605,-1,-1
REV_LONG,2025-09-25 10:45:00+00:00,2025-09-25 11:00:00+00:00,win,XAUUSD,short,3756.99,3743.43,490,win,2.767,1,1
REV_LONG,2025-09-26 09:45:00+00:00,2025-09-26 10:45:00+00:00,win,XAUUSD,short,3751.49,3744.55,920,win,0.754,1,1
ATTR_LONG,2025-09-30 10:00:00+00:00,2025-09-30 13:00:00+00:00,win,XAUUSD,short,3803.2,3817.0,1210,loss,-1.14,-1,1
ATTR_SHORT,2025-10-08 10:30:00+00:00,2025-10-08 16:30:00+00:00,loss,XAUUSD,long,4037.07,4058.0,2220,win,0.943,1,1
ATTR_SHORT,2025-10-09 08:30:00+00:00,2025-10-09 14:15:00+00:00,loss,XAUUSD,long,4038.53,4006.48,1720,loss,-1.863,1,1
REV_LONG,2025-10-10 11:45:00+00:00,2025-10-10 15:00:00+00:00,loss,XAUUSD,short,3987.0,4009.12,1900,loss,-1.164,1,1
ATTR_SHORT,2025-10-14 13:00:00+00:00,2025-10-14 13:15:00+00:00,win,XAUUSD,long,4112.93,4110.38,580,loss,-0.44,1,1
ATTR_LONG,2025-10-17 08:00:00+00:00,2025-10-17 08:15:00+00:00,win,XAUUSD,short,4333.92,4341.54,360,loss,-2.117,-1,-1
REV_SHORT,2025-10-20 06:30:00+00:00,2025-10-20 07:00:00+00:00,loss,XAUUSD,long,4233.92,4254.36,940,win,2.174,-1,-1
ATTR_SHORT,2025-10-21 10:45:00+00:00,2025-10-28 00:45:00+00:00,timeout,XAUUSD,long,4253.64,4006.49,2670,loss,-9.257,1,-1
REV_LONG,2025-10-30 07:30:00+00:00,2025-10-30 12:00:00+00:00,win,XAUUSD,short,3961.96,3982.05,2260,loss,-0.889,1,1
REV_LONG,2025-11-03 08:00:00+00:00,2025-11-03 08:45:00+00:00,win,XAUUSD,short,4021.47,4019.45,880,win,0.23,1,1
ATTR_SHORT,2025-11-05 10:45:00+00:00,2025-11-06 13:30:00+00:00,win,XAUUSD,long,3964.45,4013.64,4180,win,1.177,1,1
REV_SHORT,2025-12-02 09:45:00+00:00,2025-12-02 10:00:00+00:00,loss,XAUUSD,long,4191.87,4186.78,550,loss,-0.925,-1,-1
ATTR_LONG,2025-12-03 12:45:00+00:00,2025-12-09 21:45:00+00:00,timeout,XAUUSD,short,4213.33,4207.29,4590,win,0.132,-1,-1
ATTR_SHORT,2025-12-19 09:15:00+00:00,2025-12-22 13:00:00+00:00,win,XAUUSD,long,4326.77,4425.37,2290,win,4.306,1,-1
REV_LONG,2026-01-07 10:45:00+00:00,2026-01-07 16:15:00+00:00,win,XAUUSD,short,4464.3,4457.76,870,win,0.752,1,1
REV_SHORT,2026-01-27 08:45:00+00:00,2026-01-27 09:30:00+00:00,win,XAUUSD,long,5079.55,5087.97,790,win,1.066,-1,-1
ATTR_LONG,2026-02-09 15:30:00+00:00,2026-02-16 01:45:00+00:00,timeout,XAUUSD,short,5055.6,5028.95,7000,win,0.381,-1,1
ATTR_SHORT,2026-03-02 10:30:00+00:00,2026-03-02 12:00:00+00:00,loss,XAUUSD,long,5400.16,5391.42,1430,loss,-0.611,1,1
REV_LONG,2026-03-19 09:15:00+00:00,2026-03-19 09:45:00+00:00,loss,XAUUSD,short,4709.02,4698.94,1430,win,0.705,1,1
ATTR_SHORT,2026-03-20 07:30:00+00:00,2026-03-20 08:15:00+00:00,win,XAUUSD,long,4694.18,4722.66,440,win,6.473,-1,1
ATTR_SHORT,2026-03-25 08:00:00+00:00,2026-03-25 08:15:00+00:00,win,XAUUSD,long,4558.64,4565.56,770,win,0.899,-1,-1
REV_LONG,2026-03-30 09:00:00+00:00,2026-03-30 15:00:00+00:00,win,XAUUSD,short,4529.29,4532.82,2680,loss,-0.132,1,1
REV_LONG,2026-03-31 08:00:00+00:00,2026-03-31 08:45:00+00:00,loss,XAUUSD,short,4565.98,4568.62,870,loss,-0.303,1,1
ATTR_LONG,2026-04-01 12:15:00+00:00,2026-04-02 01:15:00+00:00,win,XAUUSD,short,4734.36,4695.66,2800,win,1.382,-1,1
ATTR_LONG,2026-04-08 08:00:00+00:00,2026-04-08 08:30:00+00:00,win,XAUUSD,short,4815.0,4793.08,1280,win,1.713,-1,-1
REV_SHORT,2026-04-09 08:30:00+00:00,2026-04-09 11:30:00+00:00,win,XAUUSD,long,4729.6,4751.03,890,win,2.408,-1,-1
REV_SHORT,2026-04-10 09:15:00+00:00,2026-04-10 11:00:00+00:00,win,XAUUSD,long,4748.6,4755.61,1320,win,0.531,-1,-1
ATTR_LONG,2026-04-14 07:45:00+00:00,2026-04-14 10:45:00+00:00,loss,XAUUSD,short,4777.12,4768.37,1420,win,0.616,-1,-1
REV_SHORT,2026-04-15 08:00:00+00:00,2026-04-15 09:00:00+00:00,loss,XAUUSD,long,4811.5,4804.92,960,loss,-0.685,-1,-1
ATTR_LONG,2026-05-06 11:30:00+00:00,2026-05-12 08:30:00+00:00,win,XAUUSD,short,4699.69,4699.89,5130,loss,-0.004,-1,-1
ATTR_SHORT,2026-05-12 08:45:00+00:00,2026-05-13 09:15:00+00:00,loss,XAUUSD,long,4703.3,4688.89,3120,loss,-0.462,1,-1
ATTR_SHORT,2026-05-13 10:00:00+00:00,2026-05-14 15:00:00+00:00,loss,XAUUSD,long,4702.25,4684.85,2200,loss,-0.791,1,1
