date,direction,gap_pts_at_lon,zone_width_pts,wave_bars,wave_extension_pts,wave_total_pts,pts_per_bar,slope_pts_bar,r2,avg_body_pts,avg_range_pts,body_ratio,pct_directional,rsi_at_peak,bb_pctb_at_peak,bb_width_pts_peak,bb_expanding,bb_width_chg_pct,macd_hist_peak,ema20_dist_pts,atr_mult,rsi_divergence,macd_divergence,reached_far_edge,max_progress_pct,pullback_pts
2023-11-15,LONG,15830.0,170.0,25,890.0,16720.0,37.1,4.45,0.004,298.8,568.4,0.526,48.0,40.0,0.139,2309.2,True,69.7,-114.05,-833.8,1.44,False,False,False,20.6,2870.0
2023-11-16,LONG,12680.0,170.0,34,4520.0,17200.0,137.0,-83.09,0.441,406.2,676.5,0.6,61.8,29.9,0.081,5853.7,True,537.5,-334.58,-2454.7,2.57,False,False,False,3.1,2990.0
2023-11-17,LONG,13050.0,170.0,48,5760.0,18810.0,122.6,-93.85,0.713,430.6,746.7,0.577,62.5,31.5,0.027,3170.4,True,172.9,-120.61,-1498.2,2.61,False,False,False,6.8,410.0
2023-12-12,LONG,1210.0,130.0,26,2020.0,3230.0,80.8,-93.36,0.806,241.2,488.1,0.494,61.5,28.7,0.121,3054.9,True,60.2,-53.76,-1156.5,2.3,True,True,True,188.1,2340.0
2023-12-14,LONG,13260.0,130.0,42,8330.0,21590.0,203.2,-227.77,0.91,595.0,993.1,0.599,57.1,30.4,0.227,9124.3,True,403.6,-145.83,-2494.5,2.46,False,False,False,11.8,1770.0
2023-12-15,LONG,20020.0,130.0,5,740.0,20760.0,185.0,-193.0,0.787,268.0,562.0,0.477,60.0,41.0,0.209,2103.8,True,3.9,-37.21,-611.9,1.16,False,False,False,33.7,6920.0
2023-12-18,LONG,1860.0,60.0,11,540.0,2400.0,54.0,-11.18,0.018,275.5,455.5,0.605,45.5,36.8,-0.167,1145.4,False,-31.4,-8.21,-763.7,1.65,False,True,False,97.9,2090.0
2023-12-19,LONG,1040.0,60.0,36,4320.0,5360.0,123.4,-125.41,0.724,429.7,690.0,0.623,61.1,31.3,0.162,6311.0,True,602.1,-237.19,-2131.2,2.47,False,False,False,90.0,1050.0
2023-12-20,LONG,3200.0,60.0,32,1190.0,4390.0,38.4,15.18,0.037,287.2,566.3,0.507,53.1,35.1,0.155,3292.0,True,121.3,-267.97,-1134.2,1.99,False,False,False,54.0,1860.0
2023-12-21,LONG,2780.0,60.0,51,5100.0,7880.0,102.0,-112.97,0.778,329.2,662.9,0.497,58.8,33.3,-0.177,1775.6,True,83.7,6.97,-1201.8,2.03,False,False,False,38.4,0.0
2023-12-22,LONG,7930.0,60.0,31,3740.0,11670.0,124.7,-110.17,0.862,282.3,662.6,0.426,71.0,26.6,-0.032,2850.9,True,298.1,-56.97,-1517.3,1.79,False,False,False,6.3,2990.0
2023-12-26,LONG,9890.0,60.0,51,1270.0,11160.0,25.4,-37.6,0.556,200.8,358.0,0.561,49.0,33.2,-0.011,1202.6,True,92.9,-28.37,-613.9,1.89,False,False,False,14.3,0.0
2023-12-27,LONG,11660.0,60.0,38,5740.0,17400.0,155.1,-138.28,0.786,277.1,537.4,0.516,71.1,11.3,0.089,6940.9,True,463.2,-362.27,-2854.5,3.81,False,False,False,7.3,500.0
2023-12-28,LONG,18990.0,60.0,11,940.0,19930.0,94.0,-13.73,0.009,393.6,680.0,0.579,63.6,31.8,-0.177,2133.6,True,77.8,-48.65,-1444.3,2.18,False,False,False,30.3,6500.0
2023-12-29,LONG,15100.0,60.0,1,0.0,15100.0,0.0,0.0,0.0,10.0,280.0,0.036,100.0,34.6,0.131,1483.7,False,0.0,-119.53,-547.5,2.02,False,False,False,20.7,2260.0
2024-01-02,LONG,11390.0,60.0,5,780.0,12170.0,195.0,-3.0,0.0,798.0,1018.0,0.784,60.0,44.6,0.184,2245.0,True,19.6,-110.28,-708.3,0.95,False,True,False,64.5,7760.0
2024-01-03,LONG,4440.0,60.0,5,600.0,5040.0,150.0,-142.0,0.831,274.0,558.0,0.491,60.0,45.5,0.308,1214.2,False,-16.7,30.31,-232.8,0.56,False,False,True,122.7,3350.0
2024-01-04,LONG,2890.0,60.0,12,1610.0,4500.0,146.4,-129.65,0.575,464.2,760.0,0.611,58.3,31.9,0.121,4084.8,True,133.7,-167.04,-1549.7,2.26,False,False,False,67.1,2830.0
2024-01-05,LONG,530.0,60.0,35,5790.0,6320.0,170.3,-93.2,0.219,498.9,1005.7,0.496,51.4,20.6,0.024,10310.9,True,293.9,-869.99,-4912.0,2.73,False,False,True,908.5,3870.0
2024-01-08,LONG,370.0,360.0,39,3260.0,3630.0,85.8,-67.04,0.442,326.2,627.4,0.52,53.8,21.0,0.037,4826.0,True,192.4,-283.48,-2234.8,3.17,False,False,True,284.9,1280.0
2024-01-09,LONG,1890.0,360.0,3,350.0,2240.0,175.0,-175.0,0.771,263.3,530.0,0.497,100.0,48.8,0.458,2267.1,False,-8.9,26.56,-95.1,0.24,False,False,True,176.4,3850.0
2024-01-11,LONG,2610.0,360.0,26,70.0,2680.0,2.8,-15.25,0.031,217.7,412.7,0.527,50.0,35.0,0.239,2754.7,True,193.3,-139.59,-717.8,1.71,True,False,True,193.9,1410.0
2024-01-12,LONG,1020.0,360.0,33,2340.0,3360.0,73.1,10.52,0.007,419.1,765.5,0.548,48.5,32.2,0.103,5370.7,True,311.1,-455.06,-2134.6,2.07,False,False,True,173.9,2930.0
2024-01-16,SHORT,4690.0,300.0,44,4520.0,9210.0,105.1,72.3,0.574,518.6,868.2,0.597,56.8,63.4,0.944,3645.4,True,172.6,159.58,1616.9,1.64,True,False,False,25.3,380.0
2024-01-17,SHORT,9920.0,300.0,32,1700.0,11620.0,54.8,30.63,0.128,348.1,656.9,0.53,50.0,72.0,1.004,3790.5,True,31.8,271.27,1909.1,2.64,False,False,False,20.5,2530.0
