signal,entry_time,exit_time,pair,direction,pair_entry,pair_exit,r_actual,outcome,sl_pts_dxy,dxy_outcome,dxy_entry,dxy_tp,dxy_sl,london_open,gap_pts_at_lon,wave_ext_pts
REV_SHORT,2023-09-08 08:15:00+00:00,2023-09-11 04:30:00+00:00,AUDUSD,long,0.6395,0.643,1.296,win,2700,win,104.892,104.622,105.162,104.893,,
REV_SHORT,2023-09-08 08:15:00+00:00,2023-09-11 04:30:00+00:00,GBPUSD,long,1.2499,1.251,-1.0,loss,2700,win,104.892,104.622,105.162,104.893,,
REV_SHORT,2023-09-08 08:15:00+00:00,2023-09-11 04:30:00+00:00,NZDUSD,long,0.5903,0.59265,0.87,win,2700,win,104.892,104.622,105.162,104.893,,
REV_SHORT,2023-09-08 08:15:00+00:00,2023-09-11 04:30:00+00:00,USDCHF,short,0.8907,0.8908,-1.0,loss,2700,win,104.892,104.622,105.162,104.893,,
REV_SHORT,2023-09-11 12:00:00+00:00,2023-09-13 12:30:00+00:00,AUDUSD,long,0.6441,0.6408,-1.0,loss,3000,loss,104.661,104.361,104.961,104.655,,
REV_SHORT,2023-09-11 12:00:00+00:00,2023-09-13 12:30:00+00:00,GBPUSD,long,1.2522,1.2477,-1.0,loss,3000,loss,104.661,104.361,104.961,104.655,,
REV_SHORT,2023-09-11 12:00:00+00:00,2023-09-13 12:30:00+00:00,NZDUSD,long,0.59255,0.5906,-1.0,loss,3000,loss,104.661,104.361,104.961,104.655,,
REV_SHORT,2023-09-11 12:00:00+00:00,2023-09-13 12:30:00+00:00,USDCHF,short,0.8914,0.893,-1.0,loss,3000,loss,104.661,104.361,104.961,104.655,,
LON_ATTR_LONG,2023-09-19 17:30:00+00:00,2023-09-20 03:45:00+00:00,AUDUSD,short,0.64595,0.6449,1.117,win,940,win,105.082,105.176,104.988,105.185,,
LON_ATTR_LONG,2023-09-19 17:30:00+00:00,2023-09-20 03:45:00+00:00,GBPUSD,short,1.23945,1.2387,0.798,win,940,win,105.082,105.176,104.988,105.185,,
LON_ATTR_LONG,2023-09-19 17:30:00+00:00,2023-09-20 03:45:00+00:00,NZDUSD,short,0.5932,0.5935,-1.0,loss,940,win,105.082,105.176,104.988,105.185,,
LON_ATTR_LONG,2023-09-19 17:30:00+00:00,2023-09-20 03:45:00+00:00,USDCHF,long,0.89765,0.8981,0.479,win,940,win,105.082,105.176,104.988,105.185,,
ATTR_CORE_SHORT,2023-09-27 12:30:00+00:00,2023-09-27 13:45:00+00:00,AUDUSD,long,0.6377,0.6379,0.094,win,2120,loss,106.379,106.167,106.591,106.235,190.0,1440.0
ATTR_CORE_SHORT,2023-09-27 12:30:00+00:00,2023-09-27 13:45:00+00:00,GBPUSD,long,1.2144,1.2141,-0.142,loss,2120,loss,106.379,106.167,106.591,106.235,190.0,1440.0
ATTR_CORE_SHORT,2023-09-27 12:30:00+00:00,2023-09-27 13:45:00+00:00,NZDUSD,long,0.5931,0.593,-0.047,loss,2120,loss,106.379,106.167,106.591,106.235,190.0,1440.0
ATTR_CORE_SHORT,2023-09-27 12:30:00+00:00,2023-09-27 13:45:00+00:00,USDCHF,short,0.9181,0.9183,-0.094,loss,2120,loss,106.379,106.167,106.591,106.235,190.0,1440.0
GAP_REJ_LONG,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,AUDUSD,short,0.64105,0.642,-1.0,loss,1560,loss,106.084,106.24,105.928,106.379,,
GAP_REJ_LONG,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,EURUSD,short,1.05652,1.05759,-1.0,loss,1560,loss,106.084,106.24,105.928,106.379,,
GAP_REJ_LONG,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,GBPUSD,short,1.2238,1.2246,-1.0,loss,1560,loss,106.084,106.24,105.928,106.379,,
GAP_REJ_LONG,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,NZDUSD,short,0.60225,0.6029,-1.0,loss,1560,loss,106.084,106.24,105.928,106.379,,
GAP_REJ_LONG,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,USDCAD,long,1.35891,1.35813,-0.5,loss,1560,loss,106.084,106.24,105.928,106.379,,
GAP_REJ_LONG,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,USDCHF,long,0.90565,0.9051,-0.353,loss,1560,loss,106.084,106.24,105.928,106.379,,
GAP_REJ_LONG,2023-10-09 18:30:00+00:00,2023-10-10 00:00:00+00:00,USDJPY,long,148.578,148.331,-1.0,loss,1560,loss,106.084,106.24,105.928,106.379,,
GAP_REJ_LONG,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,AUDUSD,short,0.641,0.6399,0.753,win,1460,win,105.882,106.028,105.736,106.175,,
GAP_REJ_LONG,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,EURUSD,short,1.06001,1.05845,1.068,win,1460,win,105.882,106.028,105.736,106.175,,
GAP_REJ_LONG,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,GBPUSD,short,1.2257,1.2247,-1.0,loss,1460,win,105.882,106.028,105.736,106.175,,
GAP_REJ_LONG,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,NZDUSD,short,0.60155,0.6006,0.651,win,1460,win,105.882,106.028,105.736,106.175,,
GAP_REJ_LONG,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,USDCAD,long,1.36008,1.35991,-0.116,loss,1460,win,105.882,106.028,105.736,106.175,,
GAP_REJ_LONG,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,USDCHF,long,0.9047,0.9064,1.164,win,1460,win,105.882,106.028,105.736,106.175,,
GAP_REJ_LONG,2023-10-10 09:00:00+00:00,2023-10-10 11:00:00+00:00,USDJPY,long,148.927,149.039,0.767,win,1460,win,105.882,106.028,105.736,106.175,,
GAP_REJ_LONG,2023-10-20 13:15:00+00:00,2023-10-20 13:30:00+00:00,AUDUSD,short,0.6314,0.6316,-1.0,loss,360,loss,106.214,106.25,106.178,106.336,,
GAP_REJ_LONG,2023-10-20 13:15:00+00:00,2023-10-20 13:30:00+00:00,EURUSD,short,1.05835,1.05861,-1.0,loss,360,loss,106.214,106.25,106.178,106.336,,
GAP_REJ_LONG,2023-10-20 13:15:00+00:00,2023-10-20 13:30:00+00:00,GBPUSD,short,1.21455,1.2153,-1.0,loss,360,loss,106.214,106.25,106.178,106.336,,
GAP_REJ_LONG,2023-10-20 13:15:00+00:00,2023-10-20 13:30:00+00:00,NZDUSD,short,0.5826,0.58325,-1.0,loss,360,loss,106.214,106.25,106.178,106.336,,
GAP_REJ_LONG,2023-10-20 13:15:00+00:00,2023-10-20 13:30:00+00:00,USDCAD,long,1.36761,1.36758,-1.0,loss,360,loss,106.214,106.25,106.178,106.336,,
