gap,approach,reward,near_tp,n_sigs,net_r,wr,pf,net_eurusd,net_usdjpy,net_usdcad,net_xauusd
50,150,150,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
50,150,175,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
50,150,175,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
50,150,200,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
50,150,200,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
50,175,50,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
50,175,50,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
50,175,75,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
50,175,75,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
50,175,100,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
50,175,100,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
50,175,125,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
50,175,125,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
50,175,150,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
50,175,150,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
50,175,175,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
50,175,175,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
50,175,200,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
50,175,200,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
50,200,50,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
50,200,50,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
50,200,75,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
50,200,75,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
50,200,100,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
50,200,100,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
50,200,125,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
50,200,125,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
50,200,150,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
50,200,150,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
50,200,175,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
50,200,175,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
50,200,200,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
50,200,200,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
75,50,50,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
75,50,50,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
75,50,75,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
75,50,75,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
75,50,100,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
75,50,100,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
75,50,125,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
75,50,125,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
75,50,150,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
75,50,150,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
75,50,175,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
75,50,175,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
